PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
39772264,Optimized Directed Virus Evolution to Accelerate the Generation of Oncolytic Coxsackievirus B3 Adapted to Resistant Colorectal Cancer Cells.,2024 Dec 20,Elsner L; Dieringer B; Geisler A; Girod M; Van Linthout S; Kurreck J; Fechner H,,N/A
39772162,Isothermal Nucleic Acid Amplification for Point-of-Care Primary Cervical Cancer Screening.,2024 Nov 28,Lamsisi M; Benlghazi A; Kouach J; Laraqui A; Ennaji MM; Chauleur C; Bourlet T; Li G,,N/A
39771591,Novel Cyclic Peptide-Drug Conjugate P6-SN38 Toward Targeted Treatment of EGFR Overexpressed Non-Small Cell Lung Cancer.,2024 Dec 19,Bazylevich A; Miller A; Tkachenko I; Merlani M; Patsenker L; Gellerman G; Lubin BCR,,N/A
39771588,A New Heteroleptic Zn(II) Complex with Schiff Bases Sensitizes Triple-Negative Breast Cancer Cells to Doxorubicin and Paclitaxel.,2024 Dec 18,Machado RADS; Siqueira RP; da Silva FC; Matos ACP; Borges DS; Rocha GG; Souza TCP; Souza RAC; Oliveira CR; Ferreira AG; Maia PIDS; Deflon VM; Oliveira CG; Araújo TG,,N/A
39771501,Effect of Lipid Nanoparticle Physico-Chemical Properties and Composition on Their Interaction with the Immune System.,2024 Nov 26,Catenacci L; Rossi R; Sechi F; Buonocore D; Sorrenti M; Perteghella S; Peviani M; Bonferoni MC,,N/A
39770927,Nutritional Risks of Heavy Metals in the Human Diet-Multi-Elemental Analysis of Energy Drinks.,2024 Dec 13,Czarnek K; Tatarczak-Michalewska M; Wójcik G; Szopa A; Majerek D; Fila K; Hamitoglu M; Gogacz M; Blicharska E,,N/A
39770487,"An Azomethine Derivative, BCS3, Targets XIAP and cIAP1/2 to Arrest Breast Cancer Progression Through MDM2-p53 and Bcl-2-Caspase Signaling Modulation.",2024 Dec 6,Acharya R; Deb PK; Venugopala KN; Pattanayak SP,,N/A
39770472,Liposomal and Nanostructured Lipid Nanoformulations of a Pentacyclic Triterpenoid Birch Bark Extract: Structural Characterization and In Vitro Effects on Melanoma B16-F10 and Walker 256 Tumor Cells Apoptosis.,2024 Dec 4,Rugină D; Socaciu MA; Nistor M; Diaconeasa Z; Cenariu M; Tabaran FA; Socaciu C,,N/A
39770406,Sparstolonin B Reduces Estrogen-Dependent Proliferation in Cancer Cells: Possible Role of Ceramide and PI3K/AKT/mTOR Inhibition.,2024 Nov 21,Dilber Y; Çeker HT; Öztüzün A; Çırçırlı B; Kırımlıoğlu E; Barut Z; Aslan M,,N/A
39770404,"mTOR Pathway Inhibition, Anticancer Activity and In Silico Calculations of Novel Hydrazone Derivatives in Two- and Three-Dimensional Cultured Type 1 Endometrial Cancer Cells.",2024 Nov 21,Bulbul MV; Mermer A; Kolbasi B; Kocabas F; Kalender SM; Kirectepe Aydin KA; Demircan T; Keskin İ,,N/A
39770249,Concave Microwell Formation Induced by PDMS Water Vapor Permeability for Spheroid Generation.,2024 Dec 14,Lim MC; Kim TY; Ok G; Kim HJ; Choi YS; Kim YR,,N/A
39770115,Polyphenols and Microbiota Modulation: Insights from Swine and Other Animal Models for Human Therapeutic Strategies.,2024 Dec 20,Anghel AC; Țăranu I; Orțan A; Marcu Spinu S; Dragoi Cudalbeanu M; Rosu PM; Băbeanu NE,,N/A
39769488,The Impact of Calcium Overload on Cellular Processes: Exploring Calcicoptosis and Its Therapeutic Potential in Cancer.,2024 Dec 23,Gielecińska A; Kciuk M; Kontek R,,N/A
39769470,Untargeted Mutation Triggered by Ribonucleoside Embedded in DNA.,2024 Dec 22,Suzuki T; Yasui K; Komatsu Y; Kamiya H,,N/A
39769463,Conjugated Human Serum Albumin/Gold-Silica Nanoparticles as Multifunctional Carrier of a Chemotherapeutic Drug.,2024 Dec 21,Morrone E; Sancey L; Dalonneau F; Ricciardi L; La Deda M,,N/A
39769457,EWSR1::ATF1 Translocation: A Common Tumor Driver of Distinct Human Neoplasms.,2024 Dec 21,Bianco JR; Li Y; Petranyi A; Fabian Z,,N/A
39769428,Hyperthermia Potentiates the Effectiveness of Anticancer Drugs-Cisplatin and Tamoxifen on Ovarian Cancer Cells In Vitro.,2024 Dec 20,Zoń A; Bednarek IA,,N/A
39769419,Whole-Exome Analysis and Osteosarcoma: A Game Still Open.,2024 Dec 20,Chiappetta C; Della Rocca C; Di Cristofano C,,N/A
39769349,"Oat Beta-Glucans Modulate the Gut Microbiome, Barrier Function, and Immune Responses in an In Vivo Model of Early-Stage Colorectal Cancer.",2024 Dec 19,Guzowska M; Dziendzikowska K; Kopiasz Ł; Gajewska M; Wilczak J; Harasym J; Czerwińska M; Gromadzka-Ostrowska J,,N/A
39769237,Oleanolic Acid Modulates DNA Damage Response to Camptothecin Increasing Cancer Cell Death.,2024 Dec 16,Mazzarotti G; Cuomo M; Ragosta MC; Russo A; D'Angelo M; Medugno A; Napolitano GM; Iannuzzi CA; Forte IM; Camerlingo R; Burk S; Errichiello F; Frusciante L; Forino M; Campitiello MR; De Laurentiis M; Giordano A; Alfano L,,N/A
